genres,main_genre,secondary_genre,hours_played
rap,rap,,4187.657623888890
hip hop,rap,,3636.0797080555600
trap,rap,,1841.2624922222200
pop rap,Rap,,1747.090661111110
rock,rock,,1120.9097877777800
conscious hip hop,rap,conscious hip hop,981.0836086111110
southern hip hop,rap,southern hip hop,925.5003005555560
atl hip hop,rap,atl hip hop,742.8892002777780
gangster rap,rap,,732.2802444444440
chicago rap,rap,chicago rap,680.0183633333330
classic rock,rock,classic rock,664.9633455555560
melodic rap,rap,melodic rap,663.6025594444440
underground hip hop,rap,,631.8036952777780
east coast hip hop,rap,east coast hip hop,617.4844913888890
album rock,rock,,506.3070480555560
,unkown,,445.3602247222220
west coast rap,rap,west coast rap,422.4065186111110
alternative rock,rock,alternative rock,380.7475713888890
permanent wave,rock,permanent wave,355.24537944444400
mellow gold,rock,mellow gold,349.78501027777800
soft rock,rock,soft rock,339.4430877777780
pop,,,317.4970108333330
canadian hip hop,rap,canadian hip hop,288.4355841666670
lo-fi beats,Focus,lofi,278.84279944444400
hardcore hip hop,rap,,260.2207852777780
hard rock,rock,hard rock,259.71608972222200
white noise,Focus,white noise,256.5969175
canadian pop,Pop,,236.9394186111110
lo-fi study,focus,Lofi,234.38221055555600
new orleans rap,rap,new orleans rap,233.5292488888890
dirty south rap,rap,dirty south rap,220.6608977777780
funk rock,rock,,210.57829583333300
funk metal,rock,,209.2004697222220
edm,,Dance,198.37951527777800
soul,,,193.89589055555600
philly rap,rap,philly rap,188.16440555555600
heartland rock,rock,heartland rock,185.49568416666700
singer-songwriter,rock,,183.49531944444400
psychedelic rock,rock,psychedelic rock,182.30040444444400
miami hip hop,rap,,181.99146555555600
political hip hop,rap,political hip hop,179.53337055555600
modern rock,indie,modern rock,177.4889922222220
pop dance,Edm,dance,166.9788088888890
g funk,rap,,164.07209722222200
dance pop,edm,dance,161.41831833333300
r&b,,,158.44914444444400
chillhop,Focus,lofi,158.32022666666700
psychedelic hip hop,rap,,147.64161166666700
neo soul,r&b,funk,140.74766861111100
atl trap,rap,,139.44643333333300
yacht rock,rock,,136.71324083333300
british invasion,rock,british invasion,135.4624677777780
folk rock,,folk,135.01356722222200
electro house,edm,,132.22591555555600
alternative r&b,r&b,,132.17102277777800
alternative hip hop,rap,alternative hip hop,128.47327361111100
indie soul,Indie,,125.30318083333300
rage rap,rap,,120.1064711111110
lgbtq+ hip hop,r&b,,118.98603555555600
queens hip hop,rap,,115.22558527777800
funk,Funk ,funk,115.1370838888890
slap house,,,115.076715
alternative metal,rock,,114.9381413888890
detroit hip hop,rap,,110.85238694444400
reggae,,,106.8733286111110
pittsburgh rap,rap,,106.16936722222200
classic soul,Soul,,105.96691166666700
drill,rap,,101.4608086111110
indietronica,Indie,dance,100.703485
dark trap,rap,,98.28941333333330
trap latino,rap,,97.44815722222220
art rock,rock,,97.06025222222220
indie rock,Indie,,93.0988213888889
florida rap,Rap,,92.97579694444440
indie hip hop,rap,,92.91188833333330
disco,,dance,92.79239277777780
roots reggae,reggae,,92.35721194444440
country rock,,,90.33947333333330
florida drill,rap,,85.68718861111110
motown,Soul,,85.1176375
